DateAware,DateSubmitted,BreachCause,DateStart,DateEnd,BreachedEntity,CyberattackType,ResidentsAffected,IndustryType,Year,DaysToContainBreach,DaysOfExposure,DaysElapsedBeforeNotification,StateAffected,Id,BusinessType,Year,YearText,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToIdentifyBreach,DaysBreachLifecycle,DiscoveredInProgress,DaysElapsedBetweenEndAndDiscovery,EndedOnDayDiscovered,DaysOfExposureRange,EntityState
2/2/21,2/26/21,Cyberattack,,,"BSN Sports, LLC",Malware,523,Business,"2,021",,,24,WA,"10,409",Accessories,"2,021",2021,500-999,Unknown,,,FALSE,,FALSE,Unknown,
1/4/21,2/23/21,Cyberattack,,,Washington Education Association & Seattle Education Association,Ransomware,"17,415",Education,"2,021",,,50,WA,"10,408",,"2,021",2021,"10,000-49,999",Unknown,,,FALSE,,FALSE,Unknown,
2/11/21,2/23/21,Cyberattack,2/3/21,,Lakewood Water District,Ransomware,"14,877",Government,"2,021",,,12,WA,"10,407",,"2,021",2021,"10,000-49,999",Unknown,8,,FALSE,,FALSE,Unknown,
12/22/20,2/23/21,Theft or Mistake,10/12/20,12/16/20,Humana,,675,Health,"2,021",0,65,63,WA,"10,406",,"2,021",2021,500-999,Jan-99,71,71,FALSE,6,FALSE,Jan-99,
1/23/21,2/19/21,Cyberattack,12/24/20,12/29/20,The Kroger Co.,Malware,"153,800",Business,"2,021",0,5,27,WA,"10,405",Retail,"2,021",2021,"50,000-999,999",Jan-99,30,30,FALSE,25,FALSE,Jan-99,
1/14/21,2/17/21,Cyberattack,12/3/20,1/14/21,"Woodcreek Provider Services, LLC",Ransomware,"25,917",Health,"2,021",0,42,34,WA,"10,402",,"2,021",2021,"10,000-49,999",Jan-99,42,42,TRUE,,TRUE,Jan-99,
1/12/21,2/12/21,Cyberattack,,,Washington State Auditor's Office,Malware,"1,420,520",Government,"2,021",,,31,WA,"10,401",,"2,021",2021,"1,000,000+",Unknown,,,FALSE,,FALSE,Unknown,
1/3/21,2/2/21,Cyberattack,1/3/21,,The Brotherhood's Relief & Compensation Fund,Ransomware,"1,563",Non-Profit/Charity,"2,021",,,30,WA,"10,400",,"2,021",2021,"1,000-9,999",Unknown,0,,FALSE,,FALSE,Unknown,
12/28/20,1/26/21,Cyberattack,12/28/20,12/28/20,thyssenkrupp Materials,Ransomware,"1,250",Business,"2,021",0,0,29,WA,"10,399",Manufacturing,"2,021",2021,"1,000-9,999",0,0,0,TRUE,,TRUE,0,
8/31/20,1/27/21,Cyberattack,8/28/20,8/29/20,Absher Construction Company,Malware,"1,527",Business,"2,021",0,1,149,WA,"10,398",Construction,"2,021",2021,"1,000-9,999",Jan-99,3,3,FALSE,2,FALSE,Jan-99,
7/25/20,1/26/21,Cyberattack,4/5/20,8/6/20,Puget Sound Educational Service District,Phishing,"32,419",Education,"2,021",12,123,185,WA,"10,397",,"2,021",2021,"10,000-49,999",100-199,111,123,TRUE,,FALSE,100-199,
8/17/20,1/26/21,Cyberattack,,,"Bosley, Inc.",Ransomware,"1,936",Business,"2,021",,,162,WA,"10,396",Other,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
8/10/20,1/25/21,Cyberattack,8/5/20,8/17/20,Einstein Healthcare Network,Phishing,"1,197",Health,"2,021",7,12,168,WA,"10,395",,"2,021",2021,"1,000-9,999",Jan-99,5,12,TRUE,,FALSE,Jan-99,
8/1/20,1/25/21,Cyberattack,,,American Frame Corporation,Ransomware,954,Business,"2,021",,,177,WA,"10,394",Retail,"2,021",2021,500-999,Unknown,,,FALSE,,FALSE,Unknown,
12/14/20,1/21/21,Cyberattack,11/8/20,11/9/20,Cardinal Financial Company,Unclear/unknown,925,Finance,"2,021",0,1,38,WA,"10,393",,"2,021",2021,500-999,Jan-99,36,36,FALSE,35,FALSE,Jan-99,
12/22/20,1/19/21,Cyberattack,2/7/20,5/20/20,Helen Keller International,Ransomware,534,Non-Profit/Charity,"2,021",0,103,28,WA,"10,392",,"2,021",2021,500-999,300-399,319,319,FALSE,216,FALSE,100-199,
10/14/20,1/15/21,Cyberattack,,,"Walla Walla County, WA",Unclear/unknown,577,Government,"2,021",,,93,WA,"10,391",,"2,021",2021,500-999,Unknown,,,FALSE,,FALSE,Unknown,
12/10/20,1/13/21,Cyberattack,12/5/19,5/15/20,Waters & Kraus LLP,Phishing,522,Business,"2,021",0,162,34,WA,"10,390",Legal,"2,021",2021,500-999,300-399,371,371,FALSE,209,FALSE,100-199,
7/16/20,1/13/21,Cyberattack,2/7/20,5/20/20,North Park University,Ransomware,"1,239",Education,"2,021",0,103,181,WA,"10,389",,"2,021",2021,"1,000-9,999",100-199,160,160,FALSE,57,FALSE,100-199,
9/7/20,1/12/21,Cyberattack,8/31/20,9/7/20,"National Board for Certified Counselors, Inc.",Malware,"9,898",Non-Profit/Charity,"2,021",0,7,127,WA,"10,388",,"2,021",2021,"1,000-9,999",Jan-99,7,7,TRUE,,TRUE,Jan-99,
11/12/20,1/11/21,Cyberattack,11/9/20,11/12/20,Jefferson Healthcare,Phishing,"2,496",Health,"2,021",0,3,60,WA,"10,387",,"2,021",2021,"1,000-9,999",Jan-99,3,3,TRUE,,TRUE,Jan-99,
12/16/20,1/11/21,Cyberattack,4/1/20,6/30/20,"ALE Solutions, Inc.",Ransomware,736,Business,"2,021",0,90,26,WA,"10,386",Other,"2,021",2021,500-999,200-299,259,259,FALSE,169,FALSE,Jan-99,
12/4/20,1/8/21,Cyberattack,8/12/20,9/14/20,"US Fertility, LLC (Seattle Reproductive Medicine)",Ransomware,"47,952",Health,"2,021",0,33,35,WA,"10,385",,"2,021",2021,"10,000-49,999",100-199,114,114,FALSE,81,FALSE,Jan-99,
7/16/20,1/8/21,Cyberattack,6/17/20,6/22/20,North American Partners in Anesthesia,Phishing,505,Health,"2,021",0,5,176,WA,"10,384",,"2,021",2021,500-999,Jan-99,29,29,FALSE,24,FALSE,Jan-99,
12/9/20,1/8/21,Cyberattack,2/7/20,5/20/20,Convoy of Hope,Ransomware,"1,017",Non-Profit/Charity,"2,021",0,103,30,WA,"10,383",,"2,021",2021,"1,000-9,999",300-399,306,306,FALSE,203,FALSE,100-199,
9/29/20,1/5/21,Cyberattack,2/7/20,5/20/20,Grinnell College,Ransomware,"2,465",Education,"2,021",0,103,98,WA,"10,382",,"2,021",2021,"1,000-9,999",200-299,235,235,FALSE,132,FALSE,100-199,
12/12/20,1/4/21,Cyberattack,12/12/20,12/26/20,"Peter Pan Seafoods, Inc.",Ransomware,"1,661",Business,"2,021",14,14,23,WA,"10,381",Consumable,"2,021",2021,"1,000-9,999",Jan-99,0,14,TRUE,,FALSE,Jan-99,
10/20/20,12/31/20,Cyberattack,10/20/20,,"Life Quotes, Inc.",Ransomware,626,Finance,"2,021",,,72,WA,"10,380",,"2,021",2021,500-999,Unknown,0,,FALSE,,FALSE,Unknown,
7/16/20,12/28/20,Cyberattack,2/7/20,5/20/20,"Pulmonary Hypertension Association, Inc.",Ransomware,722,Non-Profit/Charity,"2,021",0,103,165,WA,"10,379",,"2,021",2021,500-999,100-199,160,160,FALSE,57,FALSE,100-199,
12/2/20,12/28/20,Theft or Mistake,11/30/20,,Prime Therapeutics,,897,Health,"2,021",,,26,WA,"10,378",,"2,021",2021,500-999,Unknown,2,,FALSE,,FALSE,Unknown,
11/11/20,12/23/20,Cyberattack,,,"Tree Top, Inc.",Ransomware,"9,721",Business,"2,021",,,42,WA,"10,377",Consumable,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
9/29/20,12/23/20,Cyberattack,10/1/19,8/20/20,"Metabolic Maintenance Products, Inc.",Malware,709,Business,"2,021",0,324,85,WA,"10,376",Consumable,"2,021",2021,500-999,300-399,364,364,FALSE,40,FALSE,300-399,
12/2/20,12/23/20,Cyberattack,2/7/20,5/20/20,Bucknell University,Ransomware,710,Education,"2,021",0,103,21,WA,"10,375",,"2,021",2021,500-999,200-299,299,299,FALSE,196,FALSE,100-199,
11/23/20,12/22/20,Cyberattack,2/7/20,5/20/20,Cedarville University,Ransomware,"1,706",Education,"2,021",0,103,29,WA,"10,374",,"2,021",2021,"1,000-9,999",200-299,290,290,FALSE,187,FALSE,100-199,
11/12/20,12/18/20,Cyberattack,3/10/20,11/12/20,Washington State Bar Association,Malware,"4,051",Government,"2,021",0,247,36,WA,"10,373",,"2,021",2021,"1,000-9,999",200-299,247,247,TRUE,,TRUE,200-299,
9/14/20,12/18/20,Unauthorized Access,11/11/19,12/9/19,Benton County of Washington,,820,Government,"2,021",0,28,95,WA,"10,372",,"2,021",2021,500-999,300-399,308,308,FALSE,280,FALSE,Jan-99,
11/6/20,12/16/20,Cyberattack,5/13/18,11/24/20,Paysafe Group Holdings Limited,Unclear/unknown,"1,877",Business,"2,021",18,926,40,WA,"10,371",Other,"2,021",2021,"1,000-9,999",500+,908,926,TRUE,,FALSE,500+,
6/19/20,12/16/20,Cyberattack,6/17/20,6/22/20,"MEDNAX Services, Inc.",Phishing,"29,861",Health,"2,021",3,5,180,WA,"10,370",,"2,021",2021,"10,000-49,999",Jan-99,2,5,TRUE,,FALSE,Jan-99,
9/28/20,12/16/20,Cyberattack,2/7/20,5/20/20,Kappa Delta Foundation,Ransomware,"1,508",Non-Profit/Charity,"2,021",0,103,79,WA,"10,369",,"2,021",2021,"1,000-9,999",200-299,234,234,FALSE,131,FALSE,100-199,
11/12/20,12/11/20,Cyberattack,2/7/20,5/20/20,Fairfield University,Ransomware,505,Education,"2,021",0,103,29,WA,"10,368",,"2,021",2021,500-999,200-299,279,279,FALSE,176,FALSE,100-199,
7/16/20,12/10/20,Cyberattack,2/7/20,5/20/20,Oklahoma State University Foundation,Ransomware,"1,334",Non-Profit/Charity,"2,021",0,103,147,WA,"10,367",,"2,021",2021,"1,000-9,999",100-199,160,160,FALSE,57,FALSE,100-199,
5/1/20,12/9/20,Cyberattack,,,City University of Seattle,Unclear/unknown,"1,097",Education,"2,021",,,222,WA,"10,366",,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
10/25/20,12/4/20,Cyberattack,9/28/20,10/25/20,"USNR, LLC",Ransomware,"1,368",Business,"2,021",0,27,40,WA,"10,365",Manufacturing,"2,021",2021,"1,000-9,999",Jan-99,27,27,TRUE,,TRUE,Jan-99,
11/11/20,12/1/20,Cyberattack,11/4/20,11/19/20,Stride Inc.,Ransomware,742,Business,"2,021",8,15,20,WA,"10,364",Other,"2,021",2021,500-999,Jan-99,7,15,TRUE,,FALSE,Jan-99,
10/14/20,12/1/20,Cyberattack,,,Matson Navigation Company,Unclear/unknown,"2,991",Business,"2,021",,,48,WA,"10,363",Shipping,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
10/24/20,11/20/20,Cyberattack,10/21/20,10/25/20,"Senior Operations, LLC (Senior Aerospace AMT & Damar AeroSystems)",Ransomware,"2,543",Business,"2,021",1,4,27,WA,"10,362",Manufacturing,"2,021",2021,"1,000-9,999",Jan-99,3,4,TRUE,,FALSE,Jan-99,
8/23/20,11/18/20,Cyberattack,7/11/20,8/23/20,"Windstream Holdings II, LLC",Unclear/unknown,643,Business,"2,021",0,43,87,WA,"10,361",Telecommunications,"2,021",2021,500-999,Jan-99,43,43,TRUE,,TRUE,Jan-99,
7/24/20,11/13/20,Cyberattack,2/7/20,5/20/20,Georgia Southern University,Ransomware,552,Education,"2,021",0,103,112,WA,"10,360",,"2,021",2021,500-999,100-199,168,168,FALSE,65,FALSE,100-199,
5/1/20,11/10/20,Unauthorized Access,3/2/20,3/3/20,Woodruff Sawyer & Co.,,"2,393",Finance,"2,021",0,1,193,WA,"10,359",,"2,021",2021,"1,000-9,999",Jan-99,60,60,FALSE,59,FALSE,Jan-99,
8/19/20,2/1/21,Cyberattack,8/6/20,,Gonzaga University,Phishing,"8,041",Education,"2,021",,,166,WA,"10,357",,"2,021",2021,"1,000-9,999",Unknown,13,,FALSE,,FALSE,Unknown,
11/29/20,1/29/21,Cyberattack,5/6/19,5/15/19,Grays Harbor Community Hospital,Ransomware,"4,984",Health,"2,021",0,9,61,WA,"10,356",,"2,021",2021,"1,000-9,999",500+,573,573,FALSE,564,FALSE,Jan-99,
9/16/20,11/5/20,Cyberattack,2/7/20,5/20/20,Green America,Ransomware,"1,127",Non-Profit/Charity,"2,021",0,103,50,WA,"10,355",,"2,021",2021,"1,000-9,999",200-299,222,222,FALSE,119,FALSE,100-199,
7/24/20,11/4/20,Unauthorized Access,,,Amtrak,,"1,208",Business,"2,021",,,103,WA,"10,354",Transportation,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
8/30/20,10/29/20,Cyberattack,,,MK Periodontics and Implants,Ransomware,"8,000",Health,"2,021",,,60,WA,"10,353",,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
7/16/20,10/29/20,Cyberattack,2/7/20,5/20/20,Feed the Children,Ransomware,"21,257",Non-Profit/Charity,"2,021",0,103,105,WA,"10,351",,"2,021",2021,"10,000-49,999",100-199,160,160,FALSE,57,FALSE,100-199,
7/6/20,10/28/20,Cyberattack,1/1/20,7/17/20,"JM Bullion, Inc.",Malware,882,Business,"2,021",11,198,114,WA,"10,350",Retail,"2,021",2021,500-999,100-199,187,198,TRUE,,FALSE,100-199,
7/28/20,10/27/20,Unauthorized Access,2/21/20,7/28/20,"TrueFire, LLC",,"2,633",Business,"2,021",0,158,91,WA,"10,349",Manufacturing,"2,021",2021,"1,000-9,999",100-199,158,158,TRUE,,TRUE,100-199,
8/28/20,10/27/20,Cyberattack,8/9/20,8/9/20,Luxottica of America Inc.,Unclear/unknown,"12,166",Business,"2,021",0,0,60,WA,"10,348",Accessories,"2,021",2021,"10,000-49,999",Jan-99,19,19,FALSE,19,FALSE,0,
5/31/20,10/27/20,Cyberattack,,,"Ascend Clinical, LLC",Phishing,"1,959",Health,"2,021",,,149,WA,"10,347",,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
9/27/20,10/25/20,Theft or Mistake,9/27/20,,"Hi-Line Ranch, Harris Farms, Cherry River Farms",,852,Business,"2,021",,,28,WA,"10,346",Other,"2,021",2021,500-999,Unknown,0,,FALSE,,FALSE,Unknown,
9/10/20,10/22/20,Cyberattack,2/7/20,5/20/20,"University of Nevada, Las Vegas Foundation",Ransomware,"2,563",Non-Profit/Charity,"2,021",0,103,42,WA,"10,345",,"2,021",2021,"1,000-9,999",200-299,216,216,FALSE,113,FALSE,100-199,
9/24/20,10/21/20,Cyberattack,,9/24/20,Sam's Club,Other,771,Business,"2,021",0,,27,WA,"10,344",Retail,"2,021",2021,500-999,Unknown,,,TRUE,,TRUE,Unknown,
7/16/20,10/21/20,Cyberattack,2/7/20,5/20/20,Carroll College,Ransomware,"2,166",Education,"2,021",0,103,97,WA,"10,343",,"2,021",2021,"1,000-9,999",100-199,160,160,FALSE,57,FALSE,100-199,
9/18/20,10/16/20,Theft or Mistake,9/18/20,9/18/20,"Wyndham Capital Mortgage, Inc.",,569,Finance,"2,021",0,0,28,WA,"10,342",,"2,021",2021,500-999,0,0,0,TRUE,,TRUE,0,
8/31/20,10/16/20,Theft or Mistake,8/29/20,8/30/20,The Health & Wellness Clinic,,889,Health,"2,021",0,1,46,WA,"10,341",,"2,021",2021,500-999,Jan-99,2,2,FALSE,1,FALSE,Jan-99,
9/14/20,10/15/20,Cyberattack,2/7/20,5/20/20,"University of Nevada, Reno",Ransomware,"3,361",Education,"2,021",0,103,31,WA,"10,340",,"2,021",2021,"1,000-9,999",200-299,220,220,FALSE,117,FALSE,100-199,
7/16/20,10/13/20,Cyberattack,2/7/20,5/20/20,Forest Ridge School of the Sacred Heart,Ransomware,555,Education,"2,021",0,103,89,WA,"10,339",,"2,021",2021,500-999,100-199,160,160,FALSE,57,FALSE,100-199,
7/1/20,10/12/20,Cyberattack,6/24/20,7/1/20,EyeMed Vision Care LLC,Phishing,"19,625",Health,"2,021",0,7,103,WA,"10,338",,"2,021",2021,"10,000-49,999",Jan-99,7,7,TRUE,,TRUE,Jan-99,
9/14/20,10/12/20,Cyberattack,2/7/20,5/20/20,ZERO - The End of Prostate Cancer,Ransomware,"1,139",Non-Profit/Charity,"2,021",0,103,28,WA,"10,335",,"2,021",2021,"1,000-9,999",200-299,220,220,FALSE,117,FALSE,100-199,
9/24/20,10/12/20,Cyberattack,9/14/20,9/24/20,Evergreen Public Schools,Unclear/unknown,"3,585",Education,"2,021",0,10,18,WA,"10,334",,"2,021",2021,"1,000-9,999",Jan-99,10,10,TRUE,,TRUE,Jan-99,
9/18/20,10/6/20,Unauthorized Access,,,Gymshark Limited,,"59,769",Business,"2,021",,,18,WA,"10,333",Clothing,"2,021",2021,"50,000-999,999",Unknown,,,FALSE,,FALSE,Unknown,
8/28/20,10/2/20,Cyberattack,2/7/20,5/20/20,"Farm Sanctuary, Inc.",Ransomware,"1,065",Non-Profit/Charity,"2,021",0,103,35,WA,"10,332",,"2,021",2021,"1,000-9,999",200-299,203,203,FALSE,100,FALSE,100-199,
,10/1/20,Cyberattack,2/7/20,5/20/20,Gallaudet University,Ransomware,"1,195",Education,"2,021",,103,,WA,"10,331",,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,100-199,
9/8/20,9/30/20,Cyberattack,2/7/20,5/20/20,World Relief,Ransomware,734,Non-Profit/Charity,"2,021",0,103,22,WA,"10,330",,"2,021",2021,500-999,200-299,214,214,FALSE,111,FALSE,100-199,
5/1/20,9/30/20,Cyberattack,,,"Northwest Eye Surgeons, P.C. and Sight Partners LLC",Ransomware,"6,809",Health,"2,021",,,152,WA,"10,329",,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
8/31/20,9/30/20,Cyberattack,2/1/20,8/31/20,Made in Oregon,Unclear/unknown,537,Business,"2,021",0,212,30,WA,"10,328",Retail,"2,021",2021,500-999,200-299,212,212,TRUE,,TRUE,200-299,
7/10/20,9/29/20,Unauthorized Access,,,"Spire Hospitality, LLC",,516,Business,"2,021",,,81,WA,"10,327",Hospitality,"2,021",2021,500-999,Unknown,,,FALSE,,FALSE,Unknown,
8/20/20,9/29/20,Cyberattack,3/30/20,5/14/20,"CBD Industries, LLC",Malware,"1,088",Business,"2,021",0,45,40,WA,"10,326",Consumable,"2,021",2021,"1,000-9,999",100-199,143,143,FALSE,98,FALSE,Jan-99,
7/16/20,9/28/20,Cyberattack,2/7/20,5/20/20,Mary's Place,Ransomware,"10,000",Non-Profit/Charity,"2,021",0,103,74,WA,"10,324",,"2,021",2021,"10,000-49,999",100-199,160,160,FALSE,57,FALSE,100-199,
8/30/20,9/28/20,Theft or Mistake,8/30/20,,5th Avenue Theatre Association,,"3,468",Non-Profit/Charity,"2,021",,,29,WA,"10,323",,"2,021",2021,"1,000-9,999",Unknown,0,,FALSE,,FALSE,Unknown,
